7,10,1,1,2
8,11,2,2,3
9,13,3,3,4
7,11,3,2,2
9,11,1,2,4
8,10,1,1,3
8,13,3,3,3
7,10,2,3,4
9,13,2,1,2
23,24,31,9,4
8,13,2,1,3
8,10,2,3,3
7,11,2,2,2
9,11,2,2,4
7,11,1,2,2
9,11,3,2,4
8,11,1,2,3
8,11,3,2,3
7,10,3,1,2
9,13,1,3,4
23,24,31,9,4
7,13,3,3,2
9,10,1,1,4
8,13,1,3,3
8,10,3,1,3
7,13,1,3,2
9,10,3,1,4
27,26,27,32,33
28,27,28,35,34
0,0,0,0,0
12,12,20,11,2
12,12,20,11,2
23,24,31,9,4
12,12,20,11,2
12,12,20,11,2
12,12,20,11,2
12,12,20,11,2
12,12,20,11,2
12,12,20,11,2
12,12,20,11,2
12,12,20,11,2
12,12,20,11,2
12,12,20,11,2
23,24,31,9,4
12,12,20,11,2
11,4,1,1,4
11,4,1,1,1
11,4,1,23,1
7,3,5,5,13
7,3,5,5,1
7,3,5,23,1
15,1,7,7,6
15,1,7,7,1
15,1,7,23,1
23,24,31,9,4
12,12,20,11,2
1,7,18,26,7
16,27,6,23,1
19,18,2,21,31
18,17,3,19,29
12,10,20,9,7
1,5,20,3,5
8,11,20,2,3
11,4,20,1,4
7,13,20,9,13
23,24,31,9,4
15,1,20,7,6
16,27,20,16,27
20,17,3,12,30
2,20,19,20,8
13,6,13,27,12
